Iteration,Hippopotamus,TLBO,Genetic Alg,PSO,ABC,SA,GWO,HS,CSA,LSA,EPO,Cuckoo Search,ABO,HEM,WSO,DE
1,475.9464326497053,505.10553910731124,468.9363999845687,500.91749537206647,492.6946905742741,29.01892575542844,505.6964470628461,473.3398166468613,536.0518001029003,412.90680182836286,482.92815380478845,466.35004940970293,442.1944147017858,491.39044311355366,504.0497891777117,499.47366084375443
2,481.44010964984477,505.10553910731124,381.381532314866,530.9440353294108,508.345425596349,44.885709295964816,488.7565426841603,473.3398166468613,578.238048931791,412.90680182836286,483.34033258845943,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
3,481.44010964984477,505.10553910731124,370.1879751638468,552.8288685869654,554.2459989328063,44.885709295964816,495.76992472196116,473.3398166468613,578.238048931791,412.90680182836286,483.34033258845943,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
4,481.44010964984477,505.10553910731124,300.20964054112,552.8288685869654,554.3151770690564,44.885709295964816,481.75599482583794,473.3398166468613,578.238048931791,445.66929543719345,483.34033258845943,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
5,481.44010964984477,505.10553910731124,268.40483094689904,552.8288685869654,562.2232299143664,46.94670063010679,451.1008184089783,473.3398166468613,578.238048931791,445.66929543719345,483.34033258845943,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
6,481.44010964984477,505.10553910731124,221.03807079645506,552.8288685869654,568.6348051817005,46.94670063010679,463.3182607682515,473.3398166468613,578.238048931791,464.39462655789526,483.34033258845943,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
7,481.44010964984477,505.10553910731124,224.553025075866,552.8288685869654,568.6348051817005,54.086246998027455,486.3590185694149,473.3398166468613,578.238048931791,496.30677585217694,486.2250881525801,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
8,481.44010964984477,505.10553910731124,217.35288081589093,552.8288685869654,568.6348051817005,54.086246998027455,505.1228578372789,473.3398166468613,578.238048931791,557.3465171090347,486.2250881525801,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
9,481.44010964984477,505.10553910731124,183.52337223241895,552.8288685869654,583.4337017034622,54.086246998027455,455.0470149757506,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
10,481.44010964984477,505.10553910731124,179.9614382389219,552.8288685869654,588.3973615410031,64.22374765425181,460.404659977741,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,499.47366084375443
11,481.44010964984477,505.10553910731124,186.44627388749078,552.8288685869654,588.3973615410031,65.89323176385805,485.63050367737566,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,503.0137579211558
12,481.44010964984477,505.10553910731124,188.08297911921764,552.8288685869654,588.3973615410031,75.87525167679738,518.4511687794072,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,514.4858335553547
13,481.44010964984477,505.10553910731124,205.70403957202285,552.8288685869654,588.3973615410031,100.84018823234229,481.76190457272963,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,516.1226064785926
14,481.44010964984477,505.10553910731124,187.83211570669621,552.8288685869654,588.3973615410031,119.55392827845455,477.0479085151016,473.3398166468613,578.238048931791,577.6586754911602,525.1705993445985,485.30682108531465,467.01516084624177,494.1349813910558,504.0497891777117,516.1226064785926
