Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
18,438.5337343491939,100.0,"[438.5337343491939, 342.9975673111546, 39.77801340234851, 438.5337343491939, 338.40693389302174, 209.08151911981554, 402.2458214509037, 438.5337343491939, 198.25085260828342, 430.29509893340656]","[100.0, 85.82242266092514, 25.48612645587554, 100.0, 85.11711088122907, 63.85745322800428, 94.71611059422871, 100.0, 61.9110322168473, 98.80982289878489]"
19,448.8680369499327,100.0,"[448.8680369499327, 275.5258013854741, 448.8680369499327, 448.8680369499327, 448.8680369499327, 448.8680369499327, 348.5325341200979, 131.81398771611816, 448.8680369499327, 356.2253234097967]","[100.0, 74.12265221831741, 100.0, 100.0, 100.0, 100.0, 85.44028232980922, 48.38874782415587, 100.0, 86.59175626334047]"
20,442.1764699251589,100.0,"[422.37388690443305, 238.2761045729686, 431.1535961550483, 274.19986629028415, 180.15076478069267, 442.1764699251589, 367.56963329060267, 130.22988287436343, 442.1764699251589, 143.90264490516793]","[97.15390421847069, 68.61089691265506, 98.41956406456057, 74.5755178638694, 58.2974461403036, 100.0, 89.09934127507934, 48.46856712714581, 100.0, 51.27879815914364]"
21,441.2572055700701,100.0,"[441.2572055700701, 441.2572055700701, 441.2572055700701, 368.1425542310232, 215.90849128856652, 441.2572055700701, 441.2572055700701, 234.96126155492857, 441.2572055700701, 441.2572055700701]","[100.0, 100.0, 100.0, 89.2997552992219, 64.83203753914636, 100.0, 100.0, 68.13026145396071, 100.0, 100.0]"
22,433.45174944357325,100.0,"[374.3687315035423, 433.45174944357325, 433.45174944357325, 433.45174944357325, 433.45174944357325, 345.0405558431302, 423.9079164026593, 433.45174944357325, 320.2899257897101, 433.45174944357325]","[91.23378996991708, 100.0, 100.0, 100.0, 100.0, 86.75392610790739, 98.60456825094654, 100.0, 82.89335699890205, 100.0]"
23,405.1103274472778,100.0,"[400.7848233859821, 405.1103274472778, 100.37178706304383, 209.51956344116573, 405.1103274472778, 405.1103274472778, 373.33309695212205, 405.1103274472778, 405.1103274472778, 322.1962916215138]","[99.32421905356546, 100.0, 43.9988727611713, 66.9725696580375, 100.0, 100.0, 94.99392313007252, 100.0, 100.0, 86.70705437630524]"
24,401.9219983991409,100.0,"[212.46882651003625, 328.06515281161535, 401.9219983991409, 401.9219983991409, 401.9219983991409, 401.9219983991409, 401.9219983991409, 401.9219983991409, 198.85622128343843, 312.84517627186193]","[67.8398159816501, 88.10222206700404, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 65.25419355112545, 85.56847273352679]"
25,380.20194799046465,100.0,"[380.20194799046465, 380.20194799046465, 148.09725203119174, 309.59529922495585, 240.28513749391166, 192.92931449105163, 380.20194799046465, 380.20194799046465, 380.20194799046465, 380.20194799046465]","[100.0, 100.0, 56.81148939806433, 87.97258375064769, 75.42698236349725, 66.2284117790415, 100.0, 100.0, 100.0, 100.0]"
26,414.74139733684075,100.0,"[203.0342043697975, 279.8082526057415, 189.03199648002598, 230.1616563760677, 281.7183943128559, 414.74139733684075, 414.74139733684075, 107.86227178294402, 414.74139733684075, 414.74139733684075]","[64.85070786610117, 78.44661993655255, 62.2053427327666, 69.81261185399092, 78.76919134800991, 100.0, 100.0, 45.204361253441355, 100.0, 100.0]"
27,413.2971649456074,100.0,"[413.2971649456074, 311.78328200179084, 307.889667297476, 404.8962208835376, 301.0120723587302, 399.0005143713363, 413.2971649456074, 413.2971649456074, 413.2971649456074, 413.2971649456074]","[100.0, 83.94587417443886, 83.3048785455024, 98.71203346057864, 82.16709531228189, 97.80438961549959, 100.0, 100.0, 100.0, 100.0]"
