Iteration,Hippopotamus,TLBO,Genetic Alg,PSO,ABC,SA,GWO,HS,CSA,LSA,EPO,Cuckoo Search,ABO,HEM,WSO,DE
1,528.1140167379,499.74930638897143,362.5895472189872,484.10179969216944,505.6964470628461,40.25617102847812,505.6964470628461,484.52364367833775,554.8008245346175,482.96823584605806,494.79026541729274,486.7120177263172,530.418996665392,514.24665822827,492.2618329658886,555.6693659875486
2,539.0816116144899,499.74930638897143,183.716167905045,528.2543019211628,518.4558552534244,40.25617102847812,462.8160395020673,484.52364367833775,600.402666622487,482.96823584605806,526.9973413990067,518.4303811159211,530.418996665392,514.24665822827,492.2618329658886,555.6693659875486
3,552.2095867707037,499.74930638897143,198.05223750555237,528.2543019211628,530.5166372753388,45.8498810297929,503.9627987894633,484.52364367833775,600.402666622487,482.96823584605806,526.9973413990067,518.4303811159211,530.418996665392,514.24665822827,492.2618329658886,555.6693659875486
4,552.2095867707037,499.74930638897143,200.57449006116735,546.8510486622978,530.5166372753388,58.631671693714075,464.15186714803207,484.52364367833775,600.402666622487,482.96823584605806,534.7051365470533,538.3095263568388,530.418996665392,531.4014864311749,492.2618329658886,555.6693659875486
5,552.2095867707037,499.74930638897143,201.8932996326536,596.2356524276261,530.5166372753388,58.631671693714075,479.1886237225959,484.52364367833775,600.402666622487,482.96823584605806,534.7051365470533,538.3095263568388,530.418996665392,544.5178548584914,492.2618329658886,555.6693659875486
6,552.2095867707037,499.74930638897143,189.11897485251058,596.2356524276261,530.5166372753388,58.631671693714075,498.5741736397718,484.52364367833775,600.402666622487,482.96823584605806,540.5042991840562,538.3095263568388,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
7,552.2095867707037,499.74930638897143,192.53999076161676,596.2356524276261,530.5166372753388,58.631671693714075,501.78031989046053,484.52364367833775,602.2898601750729,482.96823584605806,540.5042991840562,541.2522738521093,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
8,552.2095867707037,499.74930638897143,181.01771372262579,596.2356524276261,530.5166372753388,58.631671693714075,486.7735090187149,484.52364367833775,602.2898601750729,482.96823584605806,540.5042991840562,541.2522738521093,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
9,552.2095867707037,499.74930638897143,181.13250979597458,631.1750394955797,530.5166372753388,58.631671693714075,447.6769016334244,484.52364367833775,621.1833520226197,482.96823584605806,540.5042991840562,588.5244461552203,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
10,552.2095867707037,508.73615879182717,162.94994401463615,631.1750394955797,530.5166372753388,58.631671693714075,454.08437747218784,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,588.5244461552203,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
11,552.2095867707037,508.73615879182717,174.9854821202088,673.6256426967423,530.5166372753388,58.631671693714075,460.1623552768762,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,588.5244461552203,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
12,552.2095867707037,543.3855885575252,177.1538125053424,725.4110799132688,538.2227905664334,58.631671693714075,443.56322911044055,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,614.4134842817608,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
13,552.2095867707037,543.3855885575252,186.68865461755362,730.1176614759545,551.2913911557665,58.631671693714075,483.06380278896637,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,644.7251751901703,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
14,552.2095867707037,543.3855885575252,179.15180508428514,782.6627088052418,606.3941892463027,58.631671693714075,524.6358686593808,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,649.5650605776469,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
15,552.2095867707037,569.7480614945166,179.79643338545048,830.6123926206576,664.9145785201073,58.631671693714075,512.7612285092325,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,679.9816908318247,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
16,552.2095867707037,588.6693915356462,182.25691317423554,830.6123926206576,664.9145785201073,58.631671693714075,511.45207454480584,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,706.0051413398108,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
17,552.2095867707037,588.6693915356462,174.54992783403574,830.6123926206576,696.6130639003278,58.631671693714075,483.16881129008317,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,706.0051413398108,530.418996665392,558.1478498714531,492.2618329658886,555.6693659875486
18,552.2095867707037,588.6693915356462,183.29500161847716,830.6123926206576,753.398822872617,58.631671693714075,438.5337343491939,484.52364367833775,630.5373764771505,482.96823584605806,540.5042991840562,706.0051413398108,530.418996665392,581.1456956257117,492.2618329658886,555.6693659875486
19,552.2095867707037,588.6693915356462,176.94003966585095,830.6123926206576,753.398822872617,58.631671693714075,448.8680369499327,484.52364367833775,642.8283841245357,482.96823584605806,540.5042991840562,743.5598849581029,530.418996665392,605.4127988250722,492.2618329658886,555.6693659875486
20,552.2095867707037,625.2675369427194,171.9154808160997,830.6123926206576,753.398822872617,58.631671693714075,442.1764699251589,484.52364367833775,688.3754850801232,482.96823584605806,540.5042991840562,743.5598849581029,530.418996665392,655.5524794591739,492.2618329658886,555.6693659875486
21,552.2095867707037,625.2675369427194,173.29058351443751,830.6123926206576,753.398822872617,58.631671693714075,441.2572055700701,484.52364367833775,717.1496064824515,482.96823584605806,540.5042991840562,743.5598849581029,530.418996665392,659.0691880371405,492.2618329658886,555.6693659875486
22,552.2095867707037,625.2675369427194,174.5164473219936,830.6123926206576,753.398822872617,58.631671693714075,433.45174944357325,484.52364367833775,717.1496064824515,482.96823584605806,540.5042991840562,784.5858875297582,530.418996665392,672.2647360067076,492.2618329658886,555.6693659875486
23,552.2095867707037,657.1013861401123,186.49145978476702,830.6123926206576,776.4597252308758,58.631671693714075,405.1103274472778,484.52364367833775,717.1496064824515,482.96823584605806,543.1006539584816,784.5858875297582,530.418996665392,702.734181831838,492.2618329658886,555.6693659875486
24,552.2095867707037,677.925054546202,184.33072042277325,830.6123926206576,776.4597252308758,58.631671693714075,401.9219983991409,484.52364367833775,717.1496064824515,482.96823584605806,543.1006539584816,784.5858875297582,530.418996665392,737.5317621944957,492.2618329658886,555.6693659875486
25,552.2095867707037,741.3523931461918,196.05697390663406,830.6123926206576,776.4597252308758,58.631671693714075,380.20194799046465,484.52364367833775,717.1496064824515,482.96823584605806,543.1006539584816,795.9789081615065,530.418996665392,747.9817099086738,492.2618329658886,555.6693659875486
26,552.2095867707037,741.3523931461918,208.19579655863404,830.6123926206576,776.4597252308758,58.631671693714075,414.74139733684075,484.52364367833775,717.1496064824515,482.96823584605806,543.1006539584816,795.9789081615065,530.418996665392,797.4442833644563,492.2618329658886,555.6693659875486
27,552.2095867707037,741.3523931461918,206.74075800798667,830.6123926206576,776.4597252308758,58.631671693714075,413.2971649456074,484.52364367833775,717.1496064824515,482.96823584605806,543.1006539584816,795.9789081615065,530.418996665392,807.1481079690536,492.2618329658886,555.6693659875486
28,552.2095867707037,741.3523931461918,187.42495809656472,830.6123926206576,776.4597252308758,58.631671693714075,380.8281231086538,484.52364367833775,717.1496064824515,482.96823584605806,543.1006539584816,795.9789081615065,530.418996665392,807.1481079690536,492.2618329658886,555.6693659875486
29,552.2095867707037,741.3523931461918,201.4792669424404,830.6123926206576,776.4597252308758,58.631671693714075,391.55064032628763,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
30,552.2095867707037,741.3523931461918,211.216019638829,830.6123926206576,776.4597252308758,58.631671693714075,366.86503787208835,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
31,552.2095867707037,741.3523931461918,207.03499671916174,830.6123926206576,776.4597252308758,58.631671693714075,390.5598652455528,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
32,552.2095867707037,741.3523931461918,200.06117489442516,830.6123926206576,776.4597252308758,58.631671693714075,407.13102631971293,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
33,552.2095867707037,741.3523931461918,192.46315606829893,830.6123926206576,776.4597252308758,58.631671693714075,437.7127701820816,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
34,552.2095867707037,741.3523931461918,177.93808892530419,830.6123926206576,776.4597252308758,58.631671693714075,472.5096242904554,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
35,552.2095867707037,741.3523931461918,186.48547486220525,830.6123926206576,776.4597252308758,58.631671693714075,467.52765092763065,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
36,552.2095867707037,741.3523931461918,213.47621026656654,830.6123926206576,776.4597252308758,60.07707233812193,440.9478573618227,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
37,552.2095867707037,741.3523931461918,209.13745471576394,830.6123926206576,776.4597252308758,60.07707233812193,438.4506354827411,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,846.4610026445087,492.2618329658886,555.6693659875486
38,552.2095867707037,741.3523931461918,217.86701369851664,830.6123926206576,776.4597252308758,60.07707233812193,464.2427166756625,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
39,552.2095867707037,741.3523931461918,215.68151261380473,830.6123926206576,776.4597252308758,60.07707233812193,467.3414825927531,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
40,552.2095867707037,741.3523931461918,215.98611794910806,830.6123926206576,776.4597252308758,60.07707233812193,483.18375321262357,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
41,552.2095867707037,741.3523931461918,213.68341716487154,830.6123926206576,776.4597252308758,60.07707233812193,466.174072038359,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
42,552.2095867707037,741.3523931461918,209.01875880106806,830.6123926206576,776.4597252308758,70.84051993775901,462.59966822594265,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
43,552.2095867707037,741.3523931461918,209.64987636462493,830.6123926206576,776.4597252308758,86.00442700759625,424.67095611958047,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
44,552.2095867707037,741.3523931461918,211.1312014770372,830.6123926206576,776.4597252308758,86.00442700759625,455.8842448624735,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
45,552.2095867707037,741.3523931461918,197.1518383457121,830.6123926206576,776.4597252308758,86.00442700759625,478.80668720959443,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
46,552.2095867707037,741.3523931461918,188.96301532956838,830.6123926206576,783.1946209682658,107.52868714613155,487.11140783122585,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
47,552.2095867707037,741.3523931461918,194.51643919556244,830.6123926206576,783.1946209682658,107.6732153459126,440.5091196541155,484.52364367833775,717.1496064824515,482.96823584605806,546.1589650358802,795.9789081615065,530.418996665392,848.5657395383785,492.2618329658886,555.6693659875486
